Group,Model,CV_PR_AUC,AUC,PR_AUC,C_Index,Brier,Recall,Specificity,F1,Calibration_Intercept,Calibration_Slope,Threshold,Best_Params
direct,Logistic Reg.,0.25368580480640657,0.8415407621306656,0.33050692574763696,0.7240340304856434,0.06445334818835408,0.5609756097560976,0.8414376321353065,0.33093525179856115,-0.12023435104410858,1.0277517463793855,0.14999999999999997,"{'lr__solver': 'saga', 'lr__penalty': 'l1', 'lr__C': 0.1}"
current_binary_stage1_reference,Elastic LR,0.24866019991021202,0.8509255917083485,0.3501424998328119,0.7616093583835519,0.06303513094206555,0.6829268292682927,0.8224101479915433,0.3660130718954248,0.7447738628045296,1.4680530253572284,0.14999999999999997,"{'lr__l1_ratio': 0.9, 'lr__C': 0.05}"
binary_interval_intercept,Elastic LR,0.23999361690003637,0.8481926468313309,0.3308500665958818,0.7573555476781283,0.06358640106442001,0.7073170731707317,0.8012684989429175,0.35365853658536583,0.9106826811629131,1.5336327333079367,0.12999999999999998,"{'lr__l1_ratio': 0.9, 'lr__C': 0.05}"
binary_interval_slope,Elastic LR,0.25123729643519616,0.8396844222142009,0.3301193486293128,0.7451258419000355,0.06314607642604404,0.6829268292682927,0.8329809725158562,0.3783783783783784,0.10790546688599259,1.0803535554303707,0.15999999999999998,"{'lr__l1_ratio': 0.7, 'lr__C': 5}"
binary_early_late,Elastic LR,0.25122413040189595,0.8402516371886763,0.33411757010103754,0.7449485997873094,0.06374930551241856,0.7073170731707317,0.8033826638477801,0.3558282208588957,0.7536037324156708,1.4713607911959445,0.13999999999999999,"{'lr__l1_ratio': 0.9, 'lr__C': 0.05}"
binary_interval_intercept_calibrated,Elastic LR,0.2462328785923645,0.8503068117361936,0.344956045078338,0.760900389932648,0.063069766987167,0.7073170731707317,0.8224101479915433,0.37662337662337664,0.8203734389517474,1.4763320668269897,0.13999999999999999,"{'lr__l1_ratio': 0.9, 'lr__C': 0.05}"
binary_rule_aux,Elastic LR,0.2388444652462446,0.8478316918475738,0.32871286029481206,0.7555831265508685,0.06367464744207889,0.7073170731707317,0.7970401691331924,0.3493975903614458,0.9047827000400332,1.5349074921152883,0.12999999999999998,"{'lr__l1_ratio': 0.9, 'lr__C': 0.05}"
binary_early_late_calibrated,Elastic LR,0.25348939890262395,0.8425720620842572,0.3297813218814509,0.7529244948599787,0.06362141200960673,0.6585365853658537,0.8350951374207188,0.3698630136986301,0.7550562012251613,1.4600706519881648,0.14999999999999997,"{'lr__l1_ratio': 0.9, 'lr__C': 0.05}"
